node	file	split	source	url	licence	licence_receipt	parent	title	sha256	bytes	band	role	src1	src2	cut_end	cut_k	cut_span	share	glue_order	paras	runes
cherokee	excerpt-021.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	10c999a403480aa1b44e660394e0e06f3c7967c69c575243754d32b2be1f3ae5	1220	s	donor	excerpt-021.txt		head	3	1-3	0.2887		3	464
cherokee	excerpt-022.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	38b2ea863ab446f0e78a0a80dade6bfcd8c97f03a66c6a108b9ae20604d80501	4128	m	keep	excerpt-022.txt							29	1505
cherokee	excerpt-023.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	21f0a85293a4e1a74ea3e8642a67b8d4c74c7922181f3c68a2a5e885261a98f5	1345	s	donor	excerpt-023.txt		tail	7	16-22	0.3287		7	503
cherokee	excerpt-024.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	813a757773370c32a25e9b75c5817bbddfd9b72e0abbcc6102b15df4e8573c3f	4186	m	keep	excerpt-024.txt							26	1547
cherokee	excerpt-025.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	d0dfa4e64401b40f4ac5de1e53a09e7f060b334fa3fa8d94e6754f8c22724773	7113	l	receiver	excerpt-025.txt	excerpt-050.txt	tail	9	20-28	0.3094	receiver	37	2567
cherokee	excerpt-026.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	b6f1555318227e7377ebab1fa44245fde0934bc5e0aa647c645ef9d2324bdb4b	1237	s	donor	excerpt-026.txt		head	9	1-9	0.3047		9	461
cherokee	excerpt-027.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	57eded4743d060b6d53ae1eba41ada5a3dfe9608959307f1db85628d2d4f5991	4108	m	keep	excerpt-027.txt							21	1513
cherokee	excerpt-028.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	6888e1214543886980c2baa94bbaaf11d5f3f591eb2f6c0384bcdc95447bd9ce	4168	m	keep	excerpt-028.txt							18	1542
cherokee	excerpt-029.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	57c89c8a632bf794028a17fd0c236e968fe2bce2b9ecdce4e9ba13b6af426546	7317	l	receiver	excerpt-029.txt	excerpt-051.txt	head	7	1-7	0.3010	remainder	37	2719
cherokee	excerpt-030.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	63c07ed176c793e68ef9aafba0689ac1bd6ad87184d09f41383c64faed239227	4169	m	keep	excerpt-030.txt							29	1533
cherokee	excerpt-031.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	485e25f309a457e5e1371cdec7f5f631385e6d99adaa93333b0b9efe09654e15	4044	m	keep	excerpt-031.txt							23	1520
cherokee	excerpt-032.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	9790696075ac97d0bdef308df1cae6514acdd28526f10a07e5e52f98d87283e9	7185	l	receiver	excerpt-032.txt	excerpt-080.txt	head	4	1-4	0.2518	receiver	39	2664
cherokee	excerpt-033.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	d8707a0ac191b84d7104b15d0236308bb6f7e9d6a362f73bb6d625177bc90347	4345	m	keep	excerpt-033.txt							17	1601
cherokee	excerpt-034.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	89182c07131205198f669d203b600442f474c7041d69a52aed4a005a1da61ab8	7075	l	receiver	excerpt-034.txt	excerpt-065.txt	head	5	1-5	0.3467	receiver	41	2594
cherokee	excerpt-035.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	0860cde245002dc66a3f945a8f588157881d063d5703e83ffe75ee12474bfb6e	6790	l	receiver	excerpt-035.txt	excerpt-023.txt	tail	7	16-22	0.3287	remainder	35	2528
cherokee	excerpt-036.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	4f80d4c5b779c4d0a0498844142addcc6742d778734453c515e567e7a26831a7	4074	m	keep	excerpt-036.txt							19	1500
cherokee	excerpt-037.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	bda51e484e79a8c331ce7cfc2b22969f7c136a755010c2efb0a0745918b5cb64	6962	l	receiver	excerpt-037.txt	excerpt-068.txt	head	9	1-9	0.3121	receiver	31	2555
cherokee	excerpt-038.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	c816eddf471a665bde4152d88630b505a0d30e02f9b0a3d7092f0fa530874470	1202	s	donor	excerpt-038.txt		head	8	1-8	0.2889		8	431
cherokee	excerpt-039.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	9bed13a3e3686aa96c28f29660c6fd74bfa13d5def40364292a2b1a202988589	7067	l	receiver	excerpt-039.txt	excerpt-078.txt	head	8	1-8	0.3038	remainder	47	2571
cherokee	excerpt-040.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	4e46a6daf899ffac9b05985d27c883c90af461b189b3f0b039c1a704ffe7b529	7199	l	receiver	excerpt-040.txt	excerpt-042.txt	head	10	1-10	0.3127	receiver	40	2646
cherokee	excerpt-041.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	e511b2f83984d8e39466fe50081278e65aca4b9f306394ea0fba1833b01de531	7185	l	receiver	excerpt-041.txt	excerpt-017.txt	tail	3	15-17	0.2676	remainder	31	2672
cherokee	excerpt-042.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	4fa10df16b2e8c3ef7b52e7bf1afba51621539ff8e9a19f20d941d4968fe38c5	1267	s	donor	excerpt-042.txt		head	10	1-10	0.3127		10	472
cherokee	excerpt-043.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	940fe32e93e551a8ff70018547cb2f29d86b21379894af6b015eee841e96a2ef	1280	s	donor	excerpt-043.txt		tail	8	18-25	0.3120		8	475
cherokee	excerpt-044.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	c59bc32c84c5bff309b36da92beb59d06f88960a8a7322e09e99d489b266c713	1199	s	donor	excerpt-044.txt		tail	7	12-18	0.2981		7	450
cherokee	excerpt-045.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	9fb3094eb178a2f322c8159d1c05e8c34f5218c3b0379268891df23a122385a2	4433	m	keep	excerpt-045.txt							20	1649
cherokee	excerpt-046.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	27a0e74fda2ce59d09993c882b875cfcd34289782c264f92aac0dd78572c8df7	1169	s	donor	excerpt-046.txt		tail	8	21-28	0.2761		8	428
cherokee	excerpt-047.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	2b037b72578d47edd3ed9a4f5210d3fb7189f84e6893b5e18fe23e94305e6f62	4156	m	keep	excerpt-047.txt							26	1541
cherokee	excerpt-048.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	3ac5a93a10a2417be03e6ac51467f8c976be27d87f58e15fc3e857ea0c287702	7162	l	receiver	excerpt-048.txt	excerpt-008.txt	head	7	1-7	0.3028	remainder	38	2651
cherokee	excerpt-049.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	4e25908199adef8ac82d70da29d9cdfe0e820f6b6a599bda5a7ecfd361d7a5b9	6971	l	receiver	excerpt-049.txt	excerpt-064.txt	tail	8	14-21	0.3129	remainder	28	2578
cherokee	excerpt-050.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	970a80643a4e918a0ebb86dc6237b19094ef8bc81d7b496451bd604977f814a7	1292	s	donor	excerpt-050.txt		tail	9	20-28	0.3094		9	470
cherokee	excerpt-051.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	3c64a56e5bd4698d7a5e96ca68049c2977c21868599c6afee342ece62106ef20	1246	s	donor	excerpt-051.txt		head	7	1-7	0.3010		7	465
cherokee	excerpt-052.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	98df5f69272712610d7eb8ef972ae53d4b495eba7b91776afb1d820621519654	7581	l	receiver	excerpt-052.txt	excerpt-077.txt	head	4	1-4	0.3270	remainder	26	2835
cherokee	excerpt-053.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	9d8246500d4c3c2616c22b45b580aa2140941c81d5a6d09481e08d4621f572de	7083	l	receiver	excerpt-053.txt	excerpt-044.txt	tail	7	12-18	0.2981	remainder	29	2621
cherokee	excerpt-054.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	6724c510efd742f879c600707a2964d30ec686fffcedc32c02442860febfaf21	4267	m	keep	excerpt-054.txt							31	1531
cherokee	excerpt-055.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	6390c29f92c82125746f9441293ec657341fb40f6e1c0024c4fe8c998397921b	4037	m	keep	excerpt-055.txt							22	1503
cherokee	excerpt-056.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	05c54f7a5a91544c35daa6bb34a60c974be10668bb823b7c4708ace504e416d7	4305	m	keep	excerpt-056.txt							20	1581
cherokee	excerpt-057.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	5d62e2e35ff956f3d02fe1b48680dd17f6902a2ca37f7ddbc831ff4e07eaa5f2	6839	l	receiver	excerpt-057.txt	excerpt-043.txt	tail	8	18-25	0.3120	remainder	29	2530
cherokee	excerpt-058.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	be8c2e879257e59a51a3f8d858e393bab0922e661586c305c408ea56f612212a	4245	m	keep	excerpt-058.txt							30	1530
cherokee	excerpt-059.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	ebef66e9535273186350c77b4d822df2a18f1bd5bdae05e96cef68edb8e9c76d	6787	l	receiver	excerpt-059.txt	excerpt-071.txt	tail	6	16-21	0.3061	remainder	37	2542
cherokee	excerpt-060.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	36889651e237c7aa31981712827d2c5d839942cfd32cd3ceb92351bb8a349feb	7073	l	receiver	excerpt-060.txt	excerpt-026.txt	head	9	1-9	0.3047	remainder	42	2611
cherokee	excerpt-061.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	a4f73f55d81e738d5b860fbbb1017c225cd5891c80b20faa58797a0fe9d3617f	7306	l	receiver	excerpt-061.txt	excerpt-038.txt	head	8	1-8	0.2889	remainder	35	2709
cherokee	excerpt-062.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	5ddf34ecd06ab53ff18527c061e4b86de17fd74dd56e26d0642964f38932dac8	7028	l	receiver	excerpt-062.txt	excerpt-020.txt	head	8	1-8	0.2985	receiver	44	2558
cherokee	excerpt-063.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	fabe823eda0f601803fa3be4eee14cf26cb99c5bc0f0e516e8b82b085aeb61d3	1202	s	donor	excerpt-063.txt		tail	7	18-24	0.2797		7	441
cherokee	excerpt-064.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	c21f430e15f71b8b334a332bd0019943b8dc04392df26a8f95952bccbcefff43	1314	s	donor	excerpt-064.txt		tail	8	14-21	0.3129		8	477
cherokee	excerpt-065.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	0079604e1e09b4f415a0110a6fd6c482d0723360bce0b239964a5afd39d95744	1511	s	donor	excerpt-065.txt		head	5	1-5	0.3467		5	568
cherokee	excerpt-066.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	020fcf765044a784012406ad33da3d02751ecbef52f588ab95db8caf6f609bf6	1164	s	donor	excerpt-066.txt		head	8	1-8	0.2817		8	423
cherokee	excerpt-067.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	44de9eb342b9b2a697659e144834735e038dcaf7126171bb92200f3c41fd0b35	7255	l	receiver	excerpt-067.txt	excerpt-090.txt	tail	8	23-30	0.2985	receiver	46	2697
cherokee	excerpt-068.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	b1515798e6b788a31328dde11ce13fc6e5e9fb60024a79f991bdd32ef89ef350	1313	s	donor	excerpt-068.txt		head	9	1-9	0.3121		9	489
cherokee	excerpt-069.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	5f94d37b10ca9d97569fa2efb00130588499ed2c53422dbae4a6d36de763db2d	4076	m	keep	excerpt-069.txt							11	1517
cherokee	excerpt-070.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	1d1e5f8fe43ca470cbdf71235d1a0c6acbdd3668155941ea94a73e0cea0fffc2	7132	l	receiver	excerpt-070.txt	excerpt-092.txt	tail	6	17-22	0.2879	remainder	45	2632
cherokee	excerpt-071.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	87fc42873d56aae075a7517c0e1f0a199bdf6613a8ba8a75222d651623388633	1226	s	donor	excerpt-071.txt		tail	6	16-21	0.3061		6	462
cherokee	excerpt-072.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	78d8148bb656a996073a934fb3fd1a5dc9490b09a5e057d7da72b39b350a127e	7120	l	receiver	excerpt-072.txt	excerpt-016.txt	head	7	1-7	0.2914	receiver	38	2609
cherokee	excerpt-073.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	d3a4bb7cab199a7f1d318eb045811167a9275b63db8f35a4cb0f075972a2c993	4359	m	keep	excerpt-073.txt							12	1622
cherokee	excerpt-074.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	00c9585e50215edeebe66dbb0d5378023431e7d3bc55450c6a1bc8a7e43fd57d	4154	m	keep	excerpt-074.txt							28	1529
